group,postRank,team,club,teamDepth,preRank,movement,joDerivedRank,joDivision,joSubdivision,joDivisionFinish,joSubdivisionFinish,latestTournamentRecord,sourceTeam
16U Boys,36,SKIP,SKIP,1,,0,36,Championship,Gold,36,12,3-5,Kern Premier
16U Boys,37,Honolulu Water Polo B,Honolulu Water Polo,2,,0,37,Championship,Gold,37,13,4-3,Honolulu B
16U Boys,38,Northwest,Northwest,1,,0,38,Championship,Gold,38,14,4-4,Northwest
16U Boys,39,Narrows,Narrows,1,,0,39,Championship,Gold,39,15,3-4,Narrows
16U Boys,40,Clovis B,Clovis,2,,0,40,Championship,Gold,40,16,2-5,Clovis Red
16U Boys,41,Elmhurst,Elmhurst,1,,0,41,Championship,Gold,41,17,3-6,Elmhurst
16U Boys,42,Miami Riptides,Miami Riptides,1,,0,42,Championship,Gold,42,18,2-7,Miami Riptides
16U Boys,43,Lyons Aquatics,Lyons Aquatics,1,,0,43,Championship,Gold,43,19,2-5,Lyons Aquatics
16U Boys,44,Topaz Tsunami,Topaz Tsunami,1,,0,44,Championship,Gold,44,20,2-6,Topaz Tsunami
16U Boys,45,Chicago Park,Chicago Park,1,,0,45,Championship,Gold,45,21,3-4,Chicago Park
16U Boys,46,Kearns,Kearns,1,,0,46,Championship,Gold,46,22,2-5,Kearns
16U Boys,47,Barcelona Lions,Barcelona Lions,1,,0,48,Championship,Gold,48,24,1-6,Barcelona Lions
16U Boys,48,NIPC,NIPC,1,,0,47,Championship,Gold,47,23,0-7,Nipc
16U Boys,49,South Coast,South Coast,1,13,-36,50,Classic,Silver,2,2,9-2,South Coast Red
16U Boys,50,CHAWP A,CHAWP,1,67,17,49,Classic,Silver,1,1,8-1,CHAWP White
16U Boys,51,Carlsbad,Carlsbad,1,16,-35,51,Classic,Silver,3,3,6-1,Carlsbad A
16U Boys,52,San Clemente,San Clemente,1,18,-34,53,Classic,Silver,5,5,5-2,San Clemente Red
16U Boys,53,SD ECA,SD ECA,1,48,-5,52,Classic,Silver,4,4,5-2,ECA A
16U Boys,54,NorCal,NorCal,1,,0,54,Classic,Silver,6,6,4-3,Norcal Black
16U Boys,55,Vanguard B,Vanguard,2,25,-30,55,Classic,Silver,7,7,5-3,Vanguard Silver
16U Boys,56,CT Premier,CT Premier,1,39,-17,56,Classic,Silver,8,8,4-3,Ct Premier
16U Boys,57,ORWP,ORWP,1,9,-48,58,Classic,Silver,10,10,4-4,ORWP
16U Boys,58,Commerce,Commerce,1,24,-34,57,Classic,Silver,9,9,5-3,Commerce
